Commodity,Date,Unit,Minimum,Maximum,Average
Potato Red,6/17/2013,Kg,20,21,20.5
Potato White,6/17/2013,Kg,15,16,15.5
Onion Dry (Indian),6/17/2013,Kg,29,30,29.5
Carrot(Local),6/17/2013,Kg,35,40,37.5
Cabbage(Local),6/17/2013,Kg,6,10,8
Cauli Local,6/17/2013,Kg,25,30,27.5
Raddish Red,6/17/2013,Kg,35,40,37.5
Raddish White(Local),6/17/2013,Kg,30,35,32.5
Brinjal Long,6/17/2013,Kg,18,20,19
Brinjal Round,6/17/2013,Kg,25,30,27.5
Cow pea(Long),6/17/2013,Kg,20,25,22.5
Green Peas,6/17/2013,Kg,55,60,57.5
French Bean(Local),6/17/2013,Kg,30,35,32.5
Soyabean Green,6/17/2013,Kg,55,60,57.5
Bitter Gourd,6/17/2013,Kg,16,20,18
Bottle Gourd,6/17/2013,Kg,18,20,19
Pointed Gourd(Local),6/17/2013,Kg,30,35,32.5
Snake Gourd,6/17/2013,Kg,30,35,32.5
Smooth Gourd,6/17/2013,Kg,15,20,17.5
Sponge Gourd,6/17/2013,Kg,45,50,47.5
Pumpkin,6/17/2013,Kg,18,20,19
Squash(Long),6/17/2013,Kg,20,25,22.5
Okara,6/17/2013,Kg,18,22,20
Christophine,6/17/2013,Kg,35,40,37.5
Brd Leaf Mustard,6/17/2013,Kg,40,45,42.5
Spinach Leaf,6/17/2013,Kg,45,50,47.5
Cress Leaf,6/17/2013,Kg,40,45,42.5
Mustard Leaf,6/17/2013,Kg,35,40,37.5
Fenugreek Leaf,6/17/2013,Kg,40,45,42.5
Onion Green,6/17/2013,Kg,40,45,42.5
Mushroom(Kanya),6/17/2013,Kg,180,200,190
Asparagus,6/17/2013,Kg,100,150,125
Neuro,6/17/2013,Kg,50,60,55
Brocauli,6/17/2013,Kg,70,80,75
Sugarbeet,6/17/2013,Kg,35,40,37.5
Drumstick,6/17/2013,Kg,45,50,47.5
Red Cabbbage,6/17/2013,Kg,60,70,65
Lettuce,6/17/2013,Kg,45,50,47.5
Celery,6/17/2013,Kg,120,130,125
Parseley,6/17/2013,Kg,180,190,185
Fennel Leaf,6/17/2013,Kg,40,45,42.5
Mint,6/17/2013,Kg,120,130,125
Turnip A,6/17/2013,Kg,45,50,47.5
Tamarind,6/17/2013,Kg,65,70,67.5
Bamboo Shoot,6/17/2013,Kg,50,60,55
Tofu,6/17/2013,Kg,55,60,57.5
Gundruk,6/17/2013,Kg,190,200,195
Apple(Jholey),6/17/2013,Kg,110,130,120
Banana,6/17/2013,Doz,70,80,75
Lime,6/17/2013,Kg,200,400,300
Pomegranate,6/17/2013,Kg,200,220,210
Mango(Maldah),6/17/2013,Kg,50,60,55
Grapes(Green),6/17/2013,Kg,250,260,255
Water Melon(Green),6/17/2013,Kg,14,16,15
Sweet Orange,6/17/2013,Kg,90,100,95
Pineapple,6/17/2013,1 Pc,60,70,65
Cucumber(Local),6/17/2013,Kg,25,30,27.5
Jack Fruit,6/17/2013,Kg,20,25,22.5
Papaya(Nepali),6/17/2013,Kg,60,70,65
Sugarcane,6/17/2013,1 Pc,60,70,65
Ginger,6/17/2013,Kg,140,150,145
Chilli Dry,6/17/2013,Kg,170,180,175
Chilli Green,6/17/2013,Kg,30,40,35
Capsicum,6/17/2013,Kg,55,60,57.5
Garlic Green,6/17/2013,Kg,45,50,47.5
Coriander Green,6/17/2013,Kg,90,100,95
Garlic Dry Chinese,6/17/2013,Kg,100,110,105
Garlic Dry Nepali,6/17/2013,Kg,50,60,55
Clive Dry,6/17/2013,Kg,70,80,75
Clive Green,6/17/2013,Kg,50,60,55
Fish Fresh,6/17/2013,Kg,210,220,215
Tomato Big(Nepali),6/18/2013,Kg,25,30,27.5
Tomato Small(Local),6/18/2013,Kg,22,26,24
Potato Red,6/18/2013,Kg,19,20,19.5
Potato White,6/18/2013,Kg,15,16,15.5
Onion Dry (Indian),6/18/2013,Kg,33,35,34
Carrot(Local),6/18/2013,Kg,35,40,37.5
Cabbage(Local),6/18/2013,Kg,8,10,9
Cauli Local,6/18/2013,Kg,25,30,27.5
Raddish Red,6/18/2013,Kg,35,40,37.5
Raddish White(Local),6/18/2013,Kg,30,35,32.5
Brinjal Long,6/18/2013,Kg,20,25,22.5
Brinjal Round,6/18/2013,Kg,25,30,27.5
Cow pea(Long),6/18/2013,Kg,25,30,27.5
Green Peas,6/18/2013,Kg,55,60,57.5
French Bean(Local),6/18/2013,Kg,30,35,32.5
Soyabean Green,6/18/2013,Kg,55,60,57.5
Bitter Gourd,6/18/2013,Kg,16,22,19
Bottle Gourd,6/18/2013,Kg,22,24,23
Pointed Gourd(Local),6/18/2013,Kg,30,35,32.5
Snake Gourd,6/18/2013,Kg,30,35,32.5
Smooth Gourd,6/18/2013,Kg,20,25,22.5
Pumpkin,6/18/2013,Kg,18,20,19
Squash(Long),6/18/2013,Kg,18,20,19
Turnip,6/18/2013,Kg,45,50,47.5
Okara,6/18/2013,Kg,20,25,22.5
Christophine,6/18/2013,Kg,40,45,42.5
Brd Leaf Mustard,6/18/2013,Kg,40,45,42.5
Spinach Leaf,6/18/2013,Kg,45,50,47.5
Cress Leaf,6/18/2013,Kg,45,50,47.5
Mustard Leaf,6/18/2013,Kg,35,40,37.5
Fenugreek Leaf,6/18/2013,Kg,40,45,42.5
Onion Green,6/18/2013,Kg,35,40,37.5
Mushroom(Kanya),6/18/2013,Kg,180,200,190
Asparagus,6/18/2013,Kg,100,120,110
Neuro,6/18/2013,Kg,50,60,55
Brocauli,6/18/2013,Kg,70,80,75
Sugarbeet,6/18/2013,Kg,35,40,37.5
Drumstick,6/18/2013,Kg,35,40,37.5
Red Cabbbage,6/18/2013,Kg,50,60,55
Lettuce,6/18/2013,Kg,35,40,37.5
Celery,6/18/2013,Kg,120,130,125
Parseley,6/18/2013,Kg,180,200,190
Fennel Leaf,6/18/2013,Kg,40,45,42.5
Mint,6/18/2013,Kg,120,130,125
Turnip A,6/18/2013,Kg,45,50,47.5
Tamarind,6/18/2013,Kg,65,70,67.5
Bamboo Shoot,6/18/2013,Kg,50,60,55
Tofu,6/18/2013,Kg,55,60,57.5
Gundruk,6/18/2013,Kg,180,190,185
Apple(Jholey),6/18/2013,Kg,110,120,115
Banana,6/18/2013,Doz,70,80,75
Lime,6/18/2013,Kg,200,400,300
Pomegranate,6/18/2013,Kg,200,220,210
Mango(Maldah),6/18/2013,Kg,50,60,55
Grapes(Green),6/18/2013,Kg,250,260,255
Water Melon(Green),6/18/2013,Kg,12,15,13.5
Sweet Orange,6/18/2013,Kg,90,100,95
Pineapple,6/18/2013,1 Pc,60,70,65
Cucumber(Local),6/18/2013,Kg,25,30,27.5
Jack Fruit,6/18/2013,Kg,20,25,22.5
Papaya(Nepali),6/18/2013,Kg,55,60,57.5
Sugarcane,6/18/2013,1 Pc,50,60,55
Ginger,6/18/2013,Kg,140,150,145
Chilli Dry,6/18/2013,Kg,170,180,175
Chilli Green,6/18/2013,Kg,35,40,37.5
Capsicum,6/18/2013,Kg,55,60,57.5
Garlic Green,6/18/2013,Kg,45,50,47.5
Coriander Green,6/18/2013,Kg,90,100,95
Garlic Dry Chinese,6/18/2013,Kg,100,110,105
Garlic Dry Nepali,6/18/2013,Kg,50,60,55
Clive Dry,6/18/2013,Kg,70,80,75
Clive Green,6/18/2013,Kg,50,60,55
Fish Fresh,6/18/2013,Kg,210,220,215
Tomato Big(Nepali),6/19/2013,Kg,25,30,27.5
Tomato Small(Local),6/19/2013,Kg,24,28,26
Potato Red,6/19/2013,Kg,20,21,20.5
Potato White,6/19/2013,Kg,15,16,15.5
Onion Dry (Indian),6/19/2013,Kg,34,35,34.5
Carrot(Local),6/19/2013,Kg,38,42,40
Cabbage(Local),6/19/2013,Kg,10,15,12.5
Cauli Local,6/19/2013,Kg,25,30,27.5
Raddish Red,6/19/2013,Kg,35,40,37.5
Raddish White(Local),6/19/2013,Kg,30,35,32.5
Brinjal Long,6/19/2013,Kg,22,26,24
Brinjal Round,6/19/2013,Kg,25,30,27.5
Cow pea(Long),6/19/2013,Kg,25,30,27.5
Green Peas,6/19/2013,Kg,55,60,57.5
French Bean(Local),6/19/2013,Kg,30,35,32.5
Soyabean Green,6/19/2013,Kg,55,60,57.5
Bitter Gourd,6/19/2013,Kg,20,25,22.5
Bottle Gourd,6/19/2013,Kg,18,20,19
Pointed Gourd(Local),6/19/2013,Kg,30,35,32.5
Snake Gourd,6/19/2013,Kg,25,30,27.5
Smooth Gourd,6/19/2013,Kg,20,25,22.5
Sponge Gourd,6/19/2013,Kg,40,45,42.5
Pumpkin,6/19/2013,Kg,18,20,19
Squash(Long),6/19/2013,Kg,15,20,17.5
Turnip,6/19/2013,Kg,45,50,47.5
Okara,6/19/2013,Kg,35,40,37.5
Christophine,6/19/2013,Kg,35,40,37.5
Brd Leaf Mustard,6/19/2013,Kg,40,45,42.5
Spinach Leaf,6/19/2013,Kg,40,45,42.5
Cress Leaf,6/19/2013,Kg,40,45,42.5
Mustard Leaf,6/19/2013,Kg,35,40,37.5
Fenugreek Leaf,6/19/2013,Kg,40,45,42.5
Onion Green,6/19/2013,Kg,40,45,42.5
Mushroom(Kanya),6/19/2013,Kg,180,200,190
Asparagus,6/19/2013,Kg,100,125,112.5
Neuro,6/19/2013,Kg,40,50,45
Brocauli,6/19/2013,Kg,70,80,75
Sugarbeet,6/19/2013,Kg,45,50,47.5
Red Cabbbage,6/19/2013,Kg,70,80,75
Lettuce,6/19/2013,Kg,55,60,57.5
Celery,6/19/2013,Kg,120,130,125
Parseley,6/19/2013,Kg,180,190,185
Fennel Leaf,6/19/2013,Kg,45,50,47.5
Mint,6/19/2013,Kg,120,130,125
Turnip A,6/19/2013,Kg,45,50,47.5
Tamarind,6/19/2013,Kg,65,70,67.5
Bamboo Shoot,6/19/2013,Kg,50,60,55
Tofu,6/19/2013,Kg,55,60,57.5
Gundruk,6/19/2013,Kg,180,190,185
Apple(Jholey),6/19/2013,Kg,110,120,115
Banana,6/19/2013,Doz,70,80,75
Lime,6/19/2013,Kg,200,400,300
Pomegranate,6/19/2013,Kg,200,220,210
Mango(Maldah),6/19/2013,Kg,50,60,55
Grapes(Green),6/19/2013,Kg,250,260,255
Water Melon(Green),6/19/2013,Kg,14,16,15
Sweet Orange,6/19/2013,Kg,90,100,95
Pineapple,6/19/2013,1 Pc,70,80,75
Cucumber(Local),6/19/2013,Kg,30,35,32.5
Jack Fruit,6/19/2013,Kg,20,25,22.5
Papaya(Nepali),6/19/2013,Kg,60,65,62.5
Sugarcane,6/19/2013,1 Pc,50,60,55
Ginger,6/19/2013,Kg,140,150,145
Chilli Dry,6/19/2013,Kg,170,180,175
Chilli Green,6/19/2013,Kg,35,40,37.5
Capsicum,6/19/2013,Kg,55,60,57.5
Garlic Green,6/19/2013,Kg,45,50,47.5
Coriander Green,6/19/2013,Kg,90,100,95
Garlic Dry Chinese,6/19/2013,Kg,100,110,105
Garlic Dry Nepali,6/19/2013,Kg,50,60,55
Clive Dry,6/19/2013,Kg,70,80,75
Clive Green,6/19/2013,Kg,50,60,55
Fish Fresh,6/19/2013,Kg,210,220,215
Tomato Big(Nepali),6/20/2013,Kg,25,30,27.5
Tomato Small(Local),6/20/2013,Kg,22,26,24
Potato Red,6/20/2013,Kg,20,21,20.5
Potato White,6/20/2013,Kg,15,16,15.5
Onion Dry (Indian),6/20/2013,Kg,35,36,35.5
Carrot(Local),6/20/2013,Kg,40,42,41
Cabbage(Local),6/20/2013,Kg,10,15,12.5
Cauli Local,6/20/2013,Kg,20,25,22.5
Raddish Red,6/20/2013,Kg,35,40,37.5
Raddish White(Local),6/20/2013,Kg,28,32,30
Brinjal Long,6/20/2013,Kg,20,25,22.5
Brinjal Round,6/20/2013,Kg,25,30,27.5
Cow pea(Long),6/20/2013,Kg,30,35,32.5
Green Peas,6/20/2013,Kg,55,60,57.5
French Bean(Local),6/20/2013,Kg,30,40,35
Soyabean Green,6/20/2013,Kg,50,55,52.5
Bitter Gourd,6/20/2013,Kg,20,25,22.5
Bottle Gourd,6/20/2013,Kg,20,25,22.5
Pointed Gourd(Local),6/20/2013,Kg,30,35,32.5
Snake Gourd,6/20/2013,Kg,30,35,32.5
Smooth Gourd,6/20/2013,Kg,20,25,22.5
Sponge Gourd,6/20/2013,Kg,45,50,47.5
Pumpkin,6/20/2013,Kg,18,20,19
Squash(Long),6/20/2013,Kg,15,20,17.5
Turnip,6/20/2013,Kg,40,45,42.5
Okara,6/20/2013,Kg,35,40,37.5
Christophine,6/20/2013,Kg,35,40,37.5
Brd Leaf Mustard,6/20/2013,Kg,40,45,42.5
Spinach Leaf,6/20/2013,Kg,45,50,47.5
Cress Leaf,6/20/2013,Kg,45,50,47.5
Mustard Leaf,6/20/2013,Kg,35,40,37.5
Fenugreek Leaf,6/20/2013,Kg,45,50,47.5
Onion Green,6/20/2013,Kg,35,40,37.5
Mushroom(Kanya),6/20/2013,Kg,200,220,210
Asparagus,6/20/2013,Kg,100,120,110
Neuro,6/20/2013,Kg,50,60,55
Brocauli,6/20/2013,Kg,70,80,75
Sugarbeet,6/20/2013,Kg,35,40,37.5
Drumstick,6/20/2013,Kg,45,50,47.5
Red Cabbbage,6/20/2013,Kg,70,80,75
Lettuce,6/20/2013,Kg,45,50,47.5
Celery,6/20/2013,Kg,120,130,125
Parseley,6/20/2013,Kg,170,180,175
Fennel Leaf,6/20/2013,Kg,45,50,47.5
Mint,6/20/2013,Kg,120,130,125
Turnip A,6/20/2013,Kg,50,60,55
Tamarind,6/20/2013,Kg,65,70,67.5
Bamboo Shoot,6/20/2013,Kg,50,60,55
Tofu,6/20/2013,Kg,55,60,57.5
Gundruk,6/20/2013,Kg,180,190,185
Apple(Jholey),6/20/2013,Kg,110,120,115
Banana,6/20/2013,Doz,70,80,75
Lime,6/20/2013,Kg,200,400,300
Pomegranate,6/20/2013,Kg,190,200,195
Mango(Maldah),6/20/2013,Kg,50,60,55
Grapes(Green),6/20/2013,Kg,250,260,255
Water Melon(Green),6/20/2013,Kg,14,16,15
Sweet Orange,6/20/2013,Kg,90,100,95
Pineapple,6/20/2013,1 Pc,60,70,65
Cucumber(Local),6/20/2013,Kg,30,35,32.5
Jack Fruit,6/20/2013,Kg,20,25,22.5
Papaya(Nepali),6/20/2013,Kg,55,55,55
Sugarcane,6/20/2013,1 Pc,50,60,55
Ginger,6/20/2013,Kg,140,150,145
Chilli Dry,6/20/2013,Kg,170,180,175
Chilli Green,6/20/2013,Kg,40,50,45
Capsicum,6/20/2013,Kg,50,55,52.5
Garlic Green,6/20/2013,Kg,40,45,42.5
Coriander Green,6/20/2013,Kg,50,60,55
Garlic Dry Chinese,6/20/2013,Kg,100,110,105
Garlic Dry Nepali,6/20/2013,Kg,50,60,55
Clive Dry,6/20/2013,Kg,70,80,75
Clive Green,6/20/2013,Kg,70,80,75
Fish Fresh,6/20/2013,Kg,210,220,215
Tomato Big(Nepali),6/21/2013,Kg,25,30,27.5
Tomato Small(Local),6/21/2013,Kg,15,20,17.5
Potato Red,6/21/2013,Kg,21,22,21.5
Potato White,6/21/2013,Kg,16,17,16.5
Onion Dry (Indian),6/21/2013,Kg,34,35,34.5
Carrot(Local),6/21/2013,Kg,40,45,42.5
Cabbage(Local),6/21/2013,Kg,8,12,10
Cauli Local,6/21/2013,Kg,20,24,22
Raddish Red,6/21/2013,Kg,35,40,37.5
Raddish White(Local),6/21/2013,Kg,25,30,27.5
Brinjal Long,6/21/2013,Kg,18,22,20
Brinjal Round,6/21/2013,Kg,25,30,27.5
Cow pea(Long),6/21/2013,Kg,30,35,32.5
Green Peas,6/21/2013,Kg,55,60,57.5
French Bean(Local),6/21/2013,Kg,35,40,37.5
Soyabean Green,6/21/2013,Kg,55,60,57.5
Bitter Gourd,6/21/2013,Kg,18,22,20
Bottle Gourd,6/21/2013,Kg,20,22,21
Pointed Gourd(Local),6/21/2013,Kg,30,35,32.5
Snake Gourd,6/21/2013,Kg,35,40,37.5
Smooth Gourd,6/21/2013,Kg,18,22,20
Sponge Gourd,6/21/2013,Kg,45,50,47.5
Pumpkin,6/21/2013,Kg,18,20,19
Squash(Long),6/21/2013,Kg,18,20,19
Turnip,6/21/2013,Kg,45,50,47.5
Okara,6/21/2013,Kg,45,55,50
Christophine,6/21/2013,Kg,35,40,37.5
Brd Leaf Mustard,6/21/2013,Kg,45,50,47.5
Spinach Leaf,6/21/2013,Kg,45,50,47.5
Cress Leaf,6/21/2013,Kg,45,50,47.5
Mustard Leaf,6/21/2013,Kg,35,40,37.5
Fenugreek Leaf,6/21/2013,Kg,45,50,47.5
Onion Green,6/21/2013,Kg,35,40,37.5
Mushroom(Kanya),6/21/2013,Kg,180,200,190
Asparagus,6/21/2013,Kg,100,120,110
Neuro,6/21/2013,Kg,50,60,55
Brocauli,6/21/2013,Kg,70,80,75
Sugarbeet,6/21/2013,Kg,35,40,37.5
Drumstick,6/21/2013,Kg,45,50,47.5
Red Cabbbage,6/21/2013,Kg,70,80,75
Lettuce,6/21/2013,Kg,40,45,42.5
Celery,6/21/2013,Kg,120,130,125
Parseley,6/21/2013,Kg,180,190,185
Fennel Leaf,6/21/2013,Kg,45,50,47.5
Mint,6/21/2013,Kg,120,130,125
Turnip A,6/21/2013,Kg,45,50,47.5
Tamarind,6/21/2013,Kg,65,70,67.5
Bamboo Shoot,6/21/2013,Kg,50,60,55
Tofu,6/21/2013,Kg,55,60,57.5
Gundruk,6/21/2013,Kg,180,190,185
Apple(Jholey),6/21/2013,Kg,110,120,115
Banana,6/21/2013,Doz,70,80,75
Lime,6/21/2013,Kg,200,400,300
Pomegranate,6/21/2013,Kg,200,210,205
Mango(Maldah),6/21/2013,Kg,40,50,45
Grapes(Green),6/21/2013,Kg,250,260,255
Water Melon(Green),6/21/2013,Kg,16,18,17
Sweet Orange,6/21/2013,Kg,90,100,95
Pineapple,6/21/2013,1 Pc,60,70,65
Cucumber(Local),6/21/2013,Kg,25,30,27.5
Jack Fruit,6/21/2013,Kg,15,20,17.5
Papaya(Nepali),6/21/2013,Kg,55,60,57.5
Sugarcane,6/21/2013,1 Pc,50,60,55
Ginger,6/21/2013,Kg,130,140,135
Chilli Dry,6/21/2013,Kg,170,180,175
Chilli Green,6/21/2013,Kg,50,60,55
Capsicum,6/21/2013,Kg,50,55,52.5
Garlic Green,6/21/2013,Kg,45,50,47.5
Coriander Green,6/21/2013,Kg,50,70,60
Garlic Dry Chinese,6/21/2013,Kg,100,110,105
Garlic Dry Nepali,6/21/2013,Kg,50,60,55
Clive Dry,6/21/2013,Kg,70,80,75
Clive Green,6/21/2013,Kg,50,60,55
Fish Fresh,6/21/2013,Kg,210,220,215
Tomato Big(Nepali),6/25/2013,Kg,30,35,32.5
Tomato Small(Local),6/25/2013,Kg,25,30,27.5
Potato Red,6/25/2013,Kg,23,25,24
Potato White,6/25/2013,Kg,17,18,17.5
Onion Dry (Indian),6/25/2013,Kg,33,35,34
Carrot(Local),6/25/2013,Kg,40,45,42.5
Cabbage(Local),6/25/2013,Kg,10,15,12.5
Cauli Local,6/25/2013,Kg,20,25,22.5
Raddish Red,6/25/2013,Kg,40,45,42.5
Raddish White(Local),6/25/2013,Kg,20,25,22.5
Brinjal Long,6/25/2013,Kg,35,40,37.5
Brinjal Round,6/25/2013,Kg,30,35,32.5
Cow pea(Long),6/25/2013,Kg,40,45,42.5
Green Peas,6/25/2013,Kg,55,60,57.5
French Bean(Local),6/25/2013,Kg,35,40,37.5
Soyabean Green,6/25/2013,Kg,50,55,52.5
Bitter Gourd,6/25/2013,Kg,25,30,27.5
Bottle Gourd,6/25/2013,Kg,30,35,32.5
Pointed Gourd(Local),6/25/2013,Kg,35,40,37.5
Snake Gourd,6/25/2013,Kg,30,35,32.5
Smooth Gourd,6/25/2013,Kg,25,30,27.5
Sponge Gourd,6/25/2013,Kg,45,50,47.5
Pumpkin,6/25/2013,Kg,18,20,19
Squash(Long),6/25/2013,Kg,15,20,17.5
Okara,6/25/2013,Kg,40,45,42.5
Arum,6/25/2013,Kg,28,32,30
Christophine,6/25/2013,Kg,35,40,37.5
Brd Leaf Mustard,6/25/2013,Kg,40,45,42.5
Spinach Leaf,6/25/2013,Kg,45,50,47.5
Cress Leaf,6/25/2013,Kg,45,50,47.5
Mustard Leaf,6/25/2013,Kg,35,40,37.5
Fenugreek Leaf,6/25/2013,Kg,40,45,42.5
Onion Green,6/25/2013,Kg,40,45,42.5
Mushroom(Kanya),6/25/2013,Kg,150,170,160
Asparagus,6/25/2013,Kg,100,125,112.5
Neuro,6/25/2013,Kg,50,60,55
Brocauli,6/25/2013,Kg,70,80,75
Sugarbeet,6/25/2013,Kg,35,40,37.5
Red Cabbbage,6/25/2013,Kg,70,80,75
Lettuce,6/25/2013,Kg,45,50,47.5
Celery,6/25/2013,Kg,120,130,125
Parseley,6/25/2013,Kg,180,190,185
Fennel Leaf,6/25/2013,Kg,45,50,47.5
Mint,6/25/2013,Kg,120,130,125
Turnip A,6/25/2013,Kg,45,50,47.5
Tamarind,6/25/2013,Kg,65,70,67.5
Bamboo Shoot,6/25/2013,Kg,50,60,55
Tofu,6/25/2013,Kg,55,60,57.5
Gundruk,6/25/2013,Kg,180,190,185
Apple(Jholey),6/25/2013,Kg,110,130,120
Banana,6/25/2013,Doz,60,70,65
Lime,6/25/2013,Kg,200,400,300
Pomegranate,6/25/2013,Kg,230,250,240
Mango(Maldah),6/25/2013,Kg,50,60,55
Grapes(Green),6/25/2013,Kg,250,260,255
Water Melon(Green),6/25/2013,Kg,17,18,17.5
Sweet Orange,6/25/2013,Kg,90,100,95
Pineapple,6/25/2013,1 Pc,60,70,65
Cucumber(Local),6/25/2013,Kg,25,30,27.5
Jack Fruit,6/25/2013,Kg,20,25,22.5
Papaya(Nepali),6/25/2013,Kg,55,60,57.5
Sugarcane,6/25/2013,1 Pc,50,60,55
Ginger,6/25/2013,Kg,140,150,145
Chilli Dry,6/25/2013,Kg,170,180,175
Chilli Green,6/25/2013,Kg,30,40,35
Capsicum,6/25/2013,Kg,70,80,75
Garlic Green,6/25/2013,Kg,45,50,47.5
Coriander Green,6/25/2013,Kg,45,50,47.5
Garlic Dry Chinese,6/25/2013,Kg,100,110,105
Garlic Dry Nepali,6/25/2013,Kg,50,60,55
Clive Dry,6/25/2013,Kg,70,80,75
Clive Green,6/25/2013,Kg,50,60,55
Fish Fresh,6/25/2013,Kg,210,220,215
Tomato Big(Nepali),6/26/2013,Kg,30,35,32.5
Tomato Small(Local),6/26/2013,Kg,20,25,22.5
Potato Red,6/26/2013,Kg,22,23,22.5
Potato White,6/26/2013,Kg,17,18,17.5
Onion Dry (Indian),6/26/2013,Kg,33,35,34
Carrot(Local),6/26/2013,Kg,35,40,37.5
Cabbage(Local),6/26/2013,Kg,10,15,12.5
Cauli Local,6/26/2013,Kg,18,22,20
Raddish Red,6/26/2013,Kg,35,40,37.5
Raddish White(Local),6/26/2013,Kg,20,25,22.5
Brinjal Long,6/26/2013,Kg,30,35,32.5
Cow pea(Long),6/26/2013,Kg,30,35,32.5
Green Peas,6/26/2013,Kg,55,60,57.5
French Bean(Local),6/26/2013,Kg,35,40,37.5
Soyabean Green,6/26/2013,Kg,45,50,47.5
Bitter Gourd,6/26/2013,Kg,20,30,25
Bottle Gourd,6/26/2013,Kg,30,32,31
Pointed Gourd(Local),6/26/2013,Kg,35,40,37.5
Snake Gourd,6/26/2013,Kg,30,35,32.5
Smooth Gourd,6/26/2013,Kg,20,25,22.5
Sponge Gourd,6/26/2013,Kg,45,50,47.5
Pumpkin,6/26/2013,Kg,16,20,18
Squash(Long),6/26/2013,Kg,20,25,22.5
Turnip,6/26/2013,Kg,45,50,47.5
Okara,6/26/2013,Kg,35,40,37.5
Arum,6/26/2013,Kg,30,35,32.5
Christophine,6/26/2013,Kg,35,40,37.5
